ScriptureReferenceBookChapterVersePost [0]: Genesis 3:8 | Genesis|3|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [25]: Numbers 31:8 | Numbers|31|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [26]: Deuteronomy 5:9 | Deuteronomy|5|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [27]: Deuteronomy 31:2 | Deuteronomy|31|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [28]: Joshua 13:22 | Joshua|13|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [29]: Joshua 14:11 | Joshua|14|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [30]: Joshua 17:11 | Joshua|17|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [31]: Joshua 17:14 | Joshua|17|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [32]: Judges 1:27 | Judges|1|27|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [33]: Judges 17:9 | Judges|17|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [34]: Ruth 2:10 | Ruth|2|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [35]: Ruth 4:4 | Ruth|4|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [36]: 1 Samuel 1:15 | 1 Samuel|1|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [37]: 1 Samuel 18:23 | 1 Samuel|18|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [38]: 1 Samuel 30:13 | 1 Samuel|30|13|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [39]: 2 Samuel 1:8 | 2 Samuel|1|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [40]: 1 Kings 5:12 | 1 Kings|5|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [41]: 1 Kings 11:40 | 1 Kings|11|40|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [42]: 1 Kings 12:3 | 1 Kings|12|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [43]: 1 Kings 12:12 | 1 Kings|12|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [44]: 1 Kings 13:18 | 1 Kings|13|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [45]: 1 Kings 14:30 | 1 Kings|14|30|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [46]: 1 Kings 15:6 | 1 Kings|15|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [47]: 1 Kings 15:7 | 1 Kings|15|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [48]: 1 Kings 15:29 | 1 Kings|15|29|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [49]: 1 Kings 22:4 | 1 Kings|22|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [50]: 2 Kings 3:7 | 2 Kings|3|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [51]: 1 Chronicles 1:21 | 1 Chronicles|1|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [52]: 1 Chronicles 3:18 | 1 Chronicles|3|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [53]: 1 Chronicles 7:16 | 1 Chronicles|7|16|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [54]: 2 Chronicles 2:9 | 2 Chronicles|2|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [55]: 2 Chronicles 10:3 | 2 Chronicles|10|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [56]: 2 Chronicles 10:12 | 2 Chronicles|10|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [57]: 2 Chronicles 11:14 | 2 Chronicles|11|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [58]: 2 Chronicles 12:15 | 2 Chronicles|12|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [59]: 2 Chronicles 13:3 | 2 Chronicles|13|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [60]: 2 Chronicles 13:15 | 2 Chronicles|13|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [61]: 2 Chronicles 18:3 | 2 Chronicles|18|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [62]: 2 Chronicles 22:7 | 2 Chronicles|22|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [63]: Ezra 9:6 | Ezra|9|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [64]: Ezra 10:15 | Ezra|10|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [65]: Nehemiah 13:2 | Nehemiah|13|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [66]: Job 7:20 | Job|7|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [67]: Job 9:28 | Job|9|28|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [68]: Job 12:4 | Job|12|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [69]: Job 19:15 | Job|19|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [70]: Job 21:6 | Job|21|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [71]: Job 23:15 | Job|23|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [72]: Job 30:29 | Job|30|29|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [73]: Job 33:6 | Job|33|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [74]: Psalms 22:6 | Psalms|22|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [75]: Psalms 39:12 | Psalms|39|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [76]: Psalms 56:3 | Psalms|56|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [77]: Psalms 71:7 | Psalms|71|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [78]: Psalms 88:4 | Psalms|88|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [79]: Psalms 88:15 | Psalms|88|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [80]: Psalms 102:7 | Psalms|102|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [81]: Psalms 119:19 | Psalms|119|19|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [82]: Psalms 119:63 | Psalms|119|63|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [83]: Psalms 119:107 | Psalms|119|107|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [84]: Psalms 119:120 | Psalms|119|120|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [85]: Song of Solomon 8:10 | Song of Solomon|8|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [86]: Isaiah 6:5 | Isaiah|6|5|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [87]: Isaiah 56:3 | Isaiah|56|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [88]: Jeremiah 1:6 | Jeremiah|1|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [89]: Jeremiah 1:7 | Jeremiah|1|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [90]: Jeremiah 21:13 | Jeremiah|21|13|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [91]: Jeremiah 23:30 | Jeremiah|23|30|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [92]: Jeremiah 23:31 | Jeremiah|23|31|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [93]: Jeremiah 23:32 | Jeremiah|23|32|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [94]: Jeremiah 29:23 | Jeremiah|29|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [95]: Jeremiah 31:9 | Jeremiah|31|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [96]: Jeremiah 38:19 | Jeremiah|38|19|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [97]: Jeremiah 50:31 | Jeremiah|50|31|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [98]: Jeremiah 51:25 | Jeremiah|51|25|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [99]: Ezekiel 5:8 | Ezekiel|5|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [100]: Ezekiel 13:8 | Ezekiel|13|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [101]: Ezekiel 13:20 | Ezekiel|13|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [102]: Ezekiel 21:3 | Ezekiel|21|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [103]: Ezekiel 26:3 | Ezekiel|26|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [104]: Ezekiel 28:2 | Ezekiel|28|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [105]: Ezekiel 28:22 | Ezekiel|28|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [106]: Ezekiel 29:3 | Ezekiel|29|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [107]: Ezekiel 29:10 | Ezekiel|29|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [108]: Ezekiel 30:22 | Ezekiel|30|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [109]: Ezekiel 32:24 | Ezekiel|32|24|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [110]: Ezekiel 34:10 | Ezekiel|34|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [111]: Ezekiel 35:3 | Ezekiel|35|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [112]: Ezekiel 38:3 | Ezekiel|38|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [113]: Ezekiel 39:1 | Ezekiel|39|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [114]: Daniel 7:1 | Daniel|7|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [115]: Jonah 1:9 | Jonah|1|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [116]: Micah 7:1 | Micah|7|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [117]: Nahum 2:13 | Nahum|2|13|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [118]: Nahum 3:5 | Nahum|3|5|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [119]: Zechariah 13:5 | Zechariah|13|5|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [120]: Malachi 1:14 | Malachi|1|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [121]: Matthew 8:9 | Matthew|8|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [122]: Matthew 9:28 | Matthew|9|28|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [123]: Matthew 26:61 | Matthew|26|61|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [124]: Luke 1:18 | Luke|1|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [125]: Luke 5:8 | Luke|5|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [126]: Luke 7:8 | Luke|7|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [127]: Luke 16:3 | Luke|16|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [128]: Luke 16:23 | Luke|16|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [129]: Luke 22:27 | Luke|22|27|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [130]: John 4:9 | John|4|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [131]: John 18:37 | John|18|37|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [132]: Acts 10:26 | Acts|10|26|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [133]: Acts 21:39 | Acts|21|39|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [134]: Acts 22:3 | Acts|22|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [135]: Acts 23:6 | Acts|23|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [136]: Acts 26:2 | Acts|26|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [137]: Acts 26:7 | Acts|26|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [138]: Romans 11:1 | Romans|11|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [139]: 1 Corinthians 15:22 | 1 Corinthians|15|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [140]: Galatians 3:16 | Galatians|3|16|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [141]: Galatians 4:11 | Galatians|4|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [142]: Galatians 4:12 | Galatians|4|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [143]: Ephesians 6:20 | Ephesians|6|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [144]: Philippians 3:12 | Philippians|3|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [145]: Colossians 4:3 | Colossians|4|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [146]: 2 Timothy 1:11 | 2 Timothy|1|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [147]: 1 Peter 5:1 | 1 Peter|5|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [148]: Revelation 1:8 | Revelation|1|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [149]: Revelation 1:11 | Revelation|1|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [150]: Revelation 1:18 | Revelation|1|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [151]: Revelation 21:6 | Revelation|21|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [152]: Revelation 22:13 | Revelation|22|13|||| | SonInLaw: 2.
Scripture Reference URI Crosswalk (HTML): http://bible.crosswalk.com/OnlineStudyBible/bible.cgi?new=1&word=Genesis+3%3A8%2C+Genesis+3%3A21%2C+Genesis+5%3A4%2C+Genesis+11%3A29%2C+Genesis+12%3A18%2C+Genesis+16%3A15%2C+Genesis+18%3A11%2C+Genesis+18%3A27%2C+Genesis+21%3A2%2C+Genesis+23%3A4%2C+Genesis+24%3A34%2C+Genesis+25%3A32%2C+Genesis+27%3A11%2C+Genesis+35%3A12%2C+Genesis+35%3A27%2C+Genesis+48%3A15%2C+Genesis+48%3A16%2C+Genesis+49%3A31%2C+Exodus+15%3A21%2C+Exodus+20%3A5%2C+Numbers+12%3A1%2C+Numbers+22%3A18%2C+Numbers+22%3A20%2C+Numbers+23%3A26%2C+Numbers+26%3A59%2C+Numbers+31%3A8%2C+Deuteronomy+5%3A9%2C+Deuteronomy+31%3A2%2C+Joshua+13%3A22%2C+Joshua+14%3A11%2C+Joshua+17%3A11%2C+Joshua+17%3A14%2C+Judges+1%3A27%2C+Judges+17%3A9%2C+Ruth+2%3A10%2C+Ruth+4%3A4%2C+1+Samuel+1%3A15%2C+1+Samuel+18%3A23%2C+1+Samuel+30%3A13%2C+2+Samuel+1%3A8%2C+1+Kings+5%3A12%2C+1+Kings+11%3A40%2C+1+Kings+12%3A3%2C+1+Kings+12%3A12%2C+1+Kings+13%3A18%2C+1+Kings+14%3A30%2C+1+Kings+15%3A6%2C+1+Kings+15%3A7%2C+1+Kings+15%3A29%2C+1+Kings+22%3A4%2C+2+Kings+3%3A7%2C+1+Chronicles+1%3A21%2C+1+Chronicles+3%3A18%2C+1+Chronicles+7%3A16%2C+2+Chronicles+2%3A9%2C+2+Chronicles+10%3A3%2C+2+Chronicles+10%3A12%2C+2+Chronicles+11%3A14%2C+2+Chronicles+12%3A15%2C+2+Chronicles+13%3A3%2C+2+Chronicles+13%3A15%2C+2+Chronicles+18%3A3%2C+2+Chronicles+22%3A7%2C+Ezra+9%3A6%2C+Ezra+10%3A15%2C+Nehemiah+13%3A2%2C+Job+7%3A20%2C+Job+9%3A28%2C+Job+12%3A4%2C+Job+19%3A15%2C+Job+21%3A6%2C+Job+23%3A15%2C+Job+30%3A29%2C+Job+33%3A6%2C+Psalms+22%3A6%2C+Psalms+39%3A12%2C+Psalms+56%3A3%2C+Psalms+71%3A7%2C+Psalms+88%3A4%2C+Psalms+88%3A15%2C+Psalms+102%3A7%2C+Psalms+119%3A19%2C+Psalms+119%3A63%2C+Psalms+119%3A107%2C+Psalms+119%3A120%2C+Song+of+Solomon+8%3A10%2C+Isaiah+6%3A5%2C+Isaiah+56%3A3%2C+Jeremiah+1%3A6%2C+Jeremiah+1%3A7%2C+Jeremiah+21%3A13%2C+Jeremiah+23%3A30%2C+Jeremiah+23%3A31%2C+Jeremiah+23%3A32%2C+Jeremiah+29%3A23%2C+Jeremiah+31%3A9%2C+Jeremiah+38%3A19%2C+Jeremiah+50%3A31%2C+Jeremiah+51%3A25%2C+Ezekiel+5%3A8%2C+Ezekiel+13%3A8%2C+Ezekiel+13%3A20%2C+Ezekiel+21%3A3%2C+Ezekiel+26%3A3%2C+Ezekiel+28%3A2%2C+Ezekiel+28%3A22%2C+Ezekiel+29%3A3%2C+Ezekiel+29%3A10%2C+Ezekiel+30%3A22%2C+Ezekiel+32%3A24%2C+Ezekiel+34%3A10%2C+Ezekiel+35%3A3%2C+Ezekiel+38%3A3%2C+Ezekiel+39%3A1%2C+Daniel+7%3A1%2C+Jonah+1%3A9%2C+Micah+7%3A1%2C+Nahum+2%3A13%2C+Nahum+3%3A5%2C+Zechariah+13%3A5%2C+Malachi+1%3A14%2C+Matthew+8%3A9%2C+Matthew+9%3A28%2C+Matthew+26%3A61%2C+Luke+1%3A18%2C+Luke+5%3A8%2C+Luke+7%3A8%2C+Luke+16%3A3%2C+Luke+16%3A23%2C+Luke+22%3A27%2C+John+4%3A9%2C+John+18%3A37%2C+Acts+10%3A26%2C+Acts+21%3A39%2C+Acts+22%3A3%2C+Acts+23%3A6%2C+Acts+26%3A2%2C+Acts+26%3A7%2C+Romans+11%3A1%2C+1+Corinthians+15%3A22%2C+Galatians+3%3A16%2C+Galatians+4%3A11%2C+Galatians+4%3A12%2C+Ephesians+6%3A20%2C+Philippians+3%3A12%2C+Colossians+4%3A3%2C+2+Timothy+1%3A11%2C+1+Peter+5%3A1%2C+Revelation+1%3A8%2C+Revelation+1%3A11%2C+Revelation+1%3A18%2C+Revelation+21%3A6%2C+Revelation+22%3A13&section=0&version=nkj&language=en
Scripture Reference URI Crosswalk (XML):  http://bible.crosswalk.com/OnlineStudyBible/bible.cgi?new=1&amp;word=Genesis+3%3A8%2C+Genesis+3%3A21%2C+Genesis+5%3A4%2C+Genesis+11%3A29%2C+Genesis+12%3A18%2C+Genesis+16%3A15%2C+Genesis+18%3A11%2C+Genesis+18%3A27%2C+Genesis+21%3A2%2C+Genesis+23%3A4%2C+Genesis+24%3A34%2C+Genesis+25%3A32%2C+Genesis+27%3A11%2C+Genesis+35%3A12%2C+Genesis+35%3A27%2C+Genesis+48%3A15%2C+Genesis+48%3A16%2C+Genesis+49%3A31%2C+Exodus+15%3A21%2C+Exodus+20%3A5%2C+Numbers+12%3A1%2C+Numbers+22%3A18%2C+Numbers+22%3A20%2C+Numbers+23%3A26%2C+Numbers+26%3A59%2C+Numbers+31%3A8%2C+Deuteronomy+5%3A9%2C+Deuteronomy+31%3A2%2C+Joshua+13%3A22%2C+Joshua+14%3A11%2C+Joshua+17%3A11%2C+Joshua+17%3A14%2C+Judges+1%3A27%2C+Judges+17%3A9%2C+Ruth+2%3A10%2C+Ruth+4%3A4%2C+1+Samuel+1%3A15%2C+1+Samuel+18%3A23%2C+1+Samuel+30%3A13%2C+2+Samuel+1%3A8%2C+1+Kings+5%3A12%2C+1+Kings+11%3A40%2C+1+Kings+12%3A3%2C+1+Kings+12%3A12%2C+1+Kings+13%3A18%2C+1+Kings+14%3A30%2C+1+Kings+15%3A6%2C+1+Kings+15%3A7%2C+1+Kings+15%3A29%2C+1+Kings+22%3A4%2C+2+Kings+3%3A7%2C+1+Chronicles+1%3A21%2C+1+Chronicles+3%3A18%2C+1+Chronicles+7%3A16%2C+2+Chronicles+2%3A9%2C+2+Chronicles+10%3A3%2C+2+Chronicles+10%3A12%2C+2+Chronicles+11%3A14%2C+2+Chronicles+12%3A15%2C+2+Chronicles+13%3A3%2C+2+Chronicles+13%3A15%2C+2+Chronicles+18%3A3%2C+2+Chronicles+22%3A7%2C+Ezra+9%3A6%2C+Ezra+10%3A15%2C+Nehemiah+13%3A2%2C+Job+7%3A20%2C+Job+9%3A28%2C+Job+12%3A4%2C+Job+19%3A15%2C+Job+21%3A6%2C+Job+23%3A15%2C+Job+30%3A29%2C+Job+33%3A6%2C+Psalms+22%3A6%2C+Psalms+39%3A12%2C+Psalms+56%3A3%2C+Psalms+71%3A7%2C+Psalms+88%3A4%2C+Psalms+88%3A15%2C+Psalms+102%3A7%2C+Psalms+119%3A19%2C+Psalms+119%3A63%2C+Psalms+119%3A107%2C+Psalms+119%3A120%2C+Song+of+Solomon+8%3A10%2C+Isaiah+6%3A5%2C+Isaiah+56%3A3%2C+Jeremiah+1%3A6%2C+Jeremiah+1%3A7%2C+Jeremiah+21%3A13%2C+Jeremiah+23%3A30%2C+Jeremiah+23%3A31%2C+Jeremiah+23%3A32%2C+Jeremiah+29%3A23%2C+Jeremiah+31%3A9%2C+Jeremiah+38%3A19%2C+Jeremiah+50%3A31%2C+Jeremiah+51%3A25%2C+Ezekiel+5%3A8%2C+Ezekiel+13%3A8%2C+Ezekiel+13%3A20%2C+Ezekiel+21%3A3%2C+Ezekiel+26%3A3%2C+Ezekiel+28%3A2%2C+Ezekiel+28%3A22%2C+Ezekiel+29%3A3%2C+Ezekiel+29%3A10%2C+Ezekiel+30%3A22%2C+Ezekiel+32%3A24%2C+Ezekiel+34%3A10%2C+Ezekiel+35%3A3%2C+Ezekiel+38%3A3%2C+Ezekiel+39%3A1%2C+Daniel+7%3A1%2C+Jonah+1%3A9%2C+Micah+7%3A1%2C+Nahum+2%3A13%2C+Nahum+3%3A5%2C+Zechariah+13%3A5%2C+Malachi+1%3A14%2C+Matthew+8%3A9%2C+Matthew+9%3A28%2C+Matthew+26%3A61%2C+Luke+1%3A18%2C+Luke+5%3A8%2C+Luke+7%3A8%2C+Luke+16%3A3%2C+Luke+16%3A23%2C+Luke+22%3A27%2C+John+4%3A9%2C+John+18%3A37%2C+Acts+10%3A26%2C+Acts+21%3A39%2C+Acts+22%3A3%2C+Acts+23%3A6%2C+Acts+26%3A2%2C+Acts+26%3A7%2C+Romans+11%3A1%2C+1+Corinthians+15%3A22%2C+Galatians+3%3A16%2C+Galatians+4%3A11%2C+Galatians+4%3A12%2C+Ephesians+6%3A20%2C+Philippians+3%3A12%2C+Colossians+4%3A3%2C+2+Timothy+1%3A11%2C+1+Peter+5%3A1%2C+Revelation+1%3A8%2C+Revelation+1%3A11%2C+Revelation+1%3A18%2C+Revelation+21%3A6%2C+Revelation+22%3A13&amp;section=0&amp;version=nkj&amp;language=en
Scripture Reference Book Chapter Verse PrePost Condition [0]: bookId=1 AND chapterId=3 AND verseId=8
Scripture Reference Book Chapter Verse PrePost Statement [0]:  SELECT 0 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=3 AND verseId=8 
Scripture Reference Book Chapter Verse PrePost Condition [1]: bookId=1 AND chapterId=3 AND verseId=21
Scripture Reference Book Chapter Verse PrePost Statement [1]:  SELECT 1 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=3 AND verseId=21 
Scripture Reference Book Chapter Verse PrePost Condition [2]: bookId=1 AND chapterId=5 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [2]:  SELECT 2 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=5 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [3]: bookId=1 AND chapterId=11 AND verseId=29
Scripture Reference Book Chapter Verse PrePost Statement [3]:  SELECT 3 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=11 AND verseId=29 
Scripture Reference Book Chapter Verse PrePost Condition [4]: bookId=1 AND chapterId=12 AND verseId=18
